Elapsed time;CPU;GPU1;GPU2
13:51:16,0;;71.0;0.0
13:51:17,0;6.0;;
13:51:18,0;;70.0;0.0
13:51:19,0;5.0;70.0;0.0
13:51:21,0;5.0;71.0;0.0
13:51:22,0;5.0;90.0;
13:51:23,0;;;0.0
13:51:24,0;8.0;73.0;0.0
13:51:26,0;8.0;72.0;0.0
13:51:27,0;5.0;;
13:51:28,0;;89.0;0.0
13:51:29,0;5.0;72.0;0.0
13:51:30,0;8.0;;
13:51:31,0;;71.0;0.0
13:51:32,0;7.0;73.0;
13:51:33,0;;;0.0
13:51:34,0;5.0;90.0;0.0
13:51:36,0;6.0;73.0;0.0
13:51:37,0;5.0;73.0;
13:51:38,0;;;0.0
13:51:39,0;5.0;75.0;0.0
13:51:40,0;5.0;;
13:51:41,0;;97.0;0.0
13:51:42,0;12.0;;
13:51:43,0;;93.0;0.0
13:51:44,0;5.0;93.0;
13:51:45,0;;;0.0
13:51:46,0;5.0;72.0;0.0
13:51:47,0;7.0;71.0;
13:51:48,0;;;0.0
13:51:49,0;4.0;72.0;0.0
13:51:50,0;5.0;;
13:51:51,0;;73.0;0.0
13:51:52,0;12.0;71.0;0.0
13:51:54,0;5.0;71.0;0.0
13:51:55,0;4.0;74.0;
13:51:56,0;;;0.0
13:51:57,0;6.0;74.0;0.0
13:51:58,0;5.0;;
13:51:59,0;;74.0;0.0
13:52:00,0;5.0;74.0;0.0
13:52:01,0;7.0;;
13:52:02,0;;73.0;0.0
13:52:03,0;4.0;73.0;0.0
13:52:05,0;5.0;74.0;0.0
